A,B,C,D,E
"2012/10/15","8577.93","8517.77","8595.11","8488.14"
"2012/10/16","8701.31","8638.68","8707.95","8633.68"
"2012/10/17","8806.55","8777.39","8837.19","8758.70"
"2012/10/18","8982.86","8886.56","8992.36","8877.17"
"2012/10/19","9002.68","8944.03","9016.90","8940.38"
"2012/10/22","9010.71","8874.52","9031.55","8867.79"
"2012/10/23","9014.25","9066.03","9075.58","8970.50"
"2012/10/24","8954.30","8896.41","9043.80","8896.41"
"2012/10/25","9055.20","8952.13","9057.31","8941.85"
"2012/10/26","8933.06","9058.93","9075.59","8933.06"
"2012/10/29","8929.34","8958.79","8986.05","8909.37"
"2012/10/30","8841.98","8941.82","8995.81","8841.98"
"2012/10/31","8928.29","8911.08","8985.58","8905.44"
"2012/11/01","8946.87","8931.71","8976.08","8871.48"
"2012/11/02","9051.22","9049.22","9072.39","9031.43"
"2012/11/05","9007.44","9000.81","9040.18","8984.69"
"2012/11/06","8975.15","8989.58","8990.35","8957.49"
"2012/11/07","8972.89","9030.56","9032.32","8924.41"
"2012/11/08","8837.15","8868.42","8891.08","8811.41"
"2012/11/09","8757.60","8742.68","8779.24","8729.45"
"2012/11/12","8676.44","8701.28","8728.85","8676.44"
"2012/11/13","8661.05","8710.52","8723.46","8619.45"
"2012/11/14","8664.73","8660.27","8680.40","8653.49"
"2012/11/15","8829.72","8703.82","8829.72","8684.23"
"2012/11/16","9024.16","8898.33","9032.35","8898.33"
"2012/11/19","9153.20","9141.27","9183.46","9135.29"
"2012/11/20","9142.64","9198.42","9200.85","9129.43"
"2012/11/21","9222.52","9213.73","9248.98","9161.21"
"2012/11/22","9366.80","9336.32","9366.80","9304.72"
"2012/11/26","9388.94","9466.06","9487.94","9388.94"
"2012/11/27","9423.30","9371.13","9449.72","9370.59"
"2012/11/28","9308.35","9375.48","9407.62","9308.35"
"2012/11/29","9400.88","9370.29","9412.08","9350.40"
"2012/11/30","9446.01","9446.77","9492.91","9380.25"
"2012/12/03","9458.18","9484.20","9525.82","9453.48"
"2012/12/04","9432.46","9419.15","9457.19","9406.03"
"2012/12/05","9468.84","9380.37","9515.86","9376.97"
"2012/12/06","9545.16","9535.69","9565.43","9503.31"
"2012/12/07","9527.39","9547.14","9572.75","9522.13"
"2012/12/10","9533.75","9584.46","9584.46","9517.40"
